2024-12-09 11:06:36 INFO  Utils:112 - [TestNG] Running:
  C:\Users\DELL\eclips-workspace 2023\OpenCart\master.xml

2024-12-09 11:06:48 INFO  TC_001_AccountRegistrationTest:13 - ***** Starting TC001_AccountRegistrationTest  ****
2024-12-09 11:06:50 INFO  TC_001_AccountRegistrationTest:19 - Clicked on MyAccount Link.. 
2024-12-09 11:06:51 INFO  TC_001_AccountRegistrationTest:22 - Clicked on Register Link.. 
2024-12-09 11:06:51 INFO  TC_001_AccountRegistrationTest:26 - Providing customer details...
2024-12-09 11:06:53 INFO  TC_001_AccountRegistrationTest:40 - Validating expected message..
2024-12-09 11:06:54 INFO  TC_001_AccountRegistrationTest:45 - ********Test passed************
2024-12-09 11:06:54 INFO  TC_001_AccountRegistrationTest:63 - ***** Finished TC001_AccountRegistrationTest *****
2024-12-09 11:07:00 INFO  TC_002_My_Account_Login:25 - *******test started********
2024-12-09 11:07:03 INFO  TC_002_My_Account_Login:46 - ******test completed*******
2024-12-09 11:07:13 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 11:07:25 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 11:07:25 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 11:07:29 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 11:07:29 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 11:07:33 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 11:07:33 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 11:07:45 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 11:07:45 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 11:07:49 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 11:07:49 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 11:08:01 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 11:08:01 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 11:08:13 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 11:08:26 INFO  TC_004_ForgetPasswordTest:36 - ******test completed*******
2024-12-09 11:08:50 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 11:08:52 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 11:09:03 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 11:09:15 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 11:09:16 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 11:09:24 INFO  TC_006_ProductCompareTest:52 - ************************Test Completed**************************
2024-12-09 11:09:25 INFO  TC_006_ProductCompareTest:52 - ************************Test Completed**************************
2024-12-09 11:09:26 INFO  TC_006_ProductCompareTest:52 - ************************Test Completed**************************
2024-12-09 11:09:44 INFO  TC_008_AddtoCartTest1:48 - ******************* Test Completed ****************************
2024-12-09 11:09:52 INFO  TC_009_AddtoCartTest2:44 - ***************** Test Completed *******************
2024-12-09 11:10:00 INFO  TC_010_AddtoWishListTestDDT:60 - *******************Test Completed************************
2024-12-09 11:10:05 INFO  TC_010_AddtoWishListTestDDT:60 - *******************Test Completed************************
2024-12-09 11:10:10 INFO  TC_010_AddtoWishListTestDDT:60 - *******************Test Completed************************
2024-12-09 11:10:19 INFO  TC_011_Validate_Shopping_Cart_page:37 - ********Test passed************
2024-12-09 11:10:19 INFO  TC_011_Validate_Shopping_Cart_page:52 - ********Test Finished************
2024-12-09 11:10:23 INFO  TC_012_Validate_Updating_UserDeatils:27 - ***Login with Existing User Account***
2024-12-09 11:10:34 INFO  TC_012_Validate_Updating_UserDeatils:39 - ***Updating Existing Account Deatils ***
2024-12-09 11:10:36 INFO  TC_012_Validate_Updating_UserDeatils:48 - ***Account deatils are updated successfully***
2024-12-09 11:10:37 INFO  TC_012_Validate_Updating_UserDeatils:58 - ***Login with Updated Email and Old Password***
2024-12-09 11:10:43 INFO  TC_012_Validate_Updating_UserDeatils:74 - ***Updating Updated email id to orginal email id***
2024-12-09 11:10:46 INFO  TC_012_Validate_Updating_UserDeatils:84 - ***Account deatils are updated successfully***
2024-12-09 11:10:46 INFO  TC_012_Validate_Updating_UserDeatils:94 - ***Login with Old Email and Old Password***
2024-12-09 11:10:53 INFO  TC_012_Validate_Updating_UserDeatils:115 - Test is Finished
2024-12-09 11:11:00 INFO  TC_013_Validate_ReviewOnProduct:26 - ***Login with Existing User Account***
2024-12-09 17:48:12 INFO  TC_001_AccountRegistrationTest:13 - ***** Starting TC001_AccountRegistrationTest  ****
2024-12-09 17:48:13 INFO  TC_001_AccountRegistrationTest:19 - Clicked on MyAccount Link.. 
2024-12-09 17:48:14 INFO  TC_001_AccountRegistrationTest:22 - Clicked on Register Link.. 
2024-12-09 17:48:15 INFO  TC_001_AccountRegistrationTest:26 - Providing customer details...
2024-12-09 17:48:18 INFO  TC_001_AccountRegistrationTest:40 - Validating expected message..
2024-12-09 17:48:18 INFO  TC_001_AccountRegistrationTest:45 - ********Test passed************
2024-12-09 17:48:18 INFO  TC_001_AccountRegistrationTest:63 - ***** Finished TC001_AccountRegistrationTest *****
2024-12-09 17:48:25 INFO  TC_002_My_Account_Login:25 - *******test started********
2024-12-09 17:48:29 INFO  TC_002_My_Account_Login:46 - ******test completed*******
2024-12-09 17:48:41 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:48:55 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:48:55 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:49:01 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:49:01 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:49:07 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:49:07 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:49:19 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:49:19 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:49:22 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:49:22 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:49:34 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:49:34 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:49:47 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:49:57 INFO  TC_004_ForgetPasswordTest:36 - ******test completed*******
2024-12-09 17:50:20 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 17:50:21 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 17:50:33 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 17:50:44 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 17:50:47 INFO  TC_005_SearchProductTestDDT:56 - *************Test is completed****************
2024-12-09 17:51:07 INFO  TC_006_ProductCompareTest:52 - ************************Test Completed**************************
2024-12-09 17:51:09 INFO  TC_006_ProductCompareTest:52 - ************************Test Completed**************************
2024-12-09 17:51:11 INFO  TC_006_ProductCompareTest:52 - ************************Test Completed**************************
2024-12-09 17:51:32 INFO  TC_008_AddtoCartTest1:48 - ******************* Test Completed ****************************
2024-12-09 17:51:40 INFO  TC_009_AddtoCartTest2:44 - ***************** Test Completed *******************
2024-12-09 17:51:52 INFO  TC_010_AddtoWishListTestDDT:60 - *******************Test Completed************************
2024-12-09 17:51:58 INFO  TC_010_AddtoWishListTestDDT:60 - *******************Test Completed************************
2024-12-09 17:52:03 INFO  TC_010_AddtoWishListTestDDT:60 - *******************Test Completed************************
2024-12-09 17:52:16 INFO  TC_011_Validate_Shopping_Cart_page:37 - ********Test passed************
2024-12-09 17:52:16 INFO  TC_011_Validate_Shopping_Cart_page:52 - ********Test Finished************
2024-12-09 17:52:21 INFO  TC_012_Validate_Updating_UserDeatils:27 - ***Login with Existing User Account***
2024-12-09 17:52:30 INFO  TC_012_Validate_Updating_UserDeatils:39 - ***Updating Existing Account Deatils ***
2024-12-09 17:52:35 INFO  TC_012_Validate_Updating_UserDeatils:48 - ***Account deatils are updated successfully***
2024-12-09 17:52:36 INFO  TC_012_Validate_Updating_UserDeatils:58 - ***Login with Updated Email and Old Password***
2024-12-09 17:52:42 INFO  TC_012_Validate_Updating_UserDeatils:74 - ***Updating Updated email id to orginal email id***
2024-12-09 17:52:46 INFO  TC_012_Validate_Updating_UserDeatils:84 - ***Account deatils are updated successfully***
2024-12-09 17:52:47 INFO  TC_012_Validate_Updating_UserDeatils:94 - ***Login with Old Email and Old Password***
2024-12-09 17:52:54 INFO  TC_012_Validate_Updating_UserDeatils:115 - Test is Finished
2024-12-09 17:52:59 INFO  TC_013_Validate_ReviewOnProduct:26 - ***Login with Existing User Account***
2024-12-09 17:57:19 INFO  TC_001_AccountRegistrationTest:13 - ***** Starting TC001_AccountRegistrationTest  ****
2024-12-09 17:57:20 INFO  TC_001_AccountRegistrationTest:19 - Clicked on MyAccount Link.. 
2024-12-09 17:57:21 INFO  TC_001_AccountRegistrationTest:22 - Clicked on Register Link.. 
2024-12-09 17:57:21 INFO  TC_001_AccountRegistrationTest:26 - Providing customer details...
2024-12-09 17:57:24 INFO  TC_001_AccountRegistrationTest:40 - Validating expected message..
2024-12-09 17:57:24 INFO  TC_001_AccountRegistrationTest:45 - ********Test passed************
2024-12-09 17:57:24 INFO  TC_001_AccountRegistrationTest:63 - ***** Finished TC001_AccountRegistrationTest *****
2024-12-09 17:57:31 INFO  TC_002_My_Account_Login:25 - *******test started********
2024-12-09 17:57:34 INFO  TC_002_My_Account_Login:46 - ******test completed*******
2024-12-09 17:57:43 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:57:57 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:57:58 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:58:05 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:58:05 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:58:15 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:58:15 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:58:29 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:58:29 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:58:32 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:58:32 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 17:58:45 INFO  TC_003_LoginDataDrivenTest:66 - *************Test is completed****************
2024-12-09 17:58:45 INFO  TC_003_LoginDataDrivenTest:17 - *************Test is Begin****************
2024-12-09 18:00:21 INFO  TC_001_AccountRegistrationTest:13 - ***** Starting TC001_AccountRegistrationTest  ****
2024-12-09 18:00:22 INFO  TC_001_AccountRegistrationTest:19 - Clicked on MyAccount Link.. 
2024-12-09 18:00:24 INFO  TC_001_AccountRegistrationTest:22 - Clicked on Register Link.. 
2024-12-09 18:00:24 INFO  TC_001_AccountRegistrationTest:26 - Providing customer details...
2024-12-09 18:00:30 INFO  TC_001_AccountRegistrationTest:40 - Validating expected message..
2024-12-09 18:00:30 INFO  TC_001_AccountRegistrationTest:45 - ********Test passed************
2024-12-09 18:00:31 INFO  TC_001_AccountRegistrationTest:63 - ***** Finished TC001_AccountRegistrationTest *****
